rank,word
1,我
2,的
3,你
4,是
5,了
6,不
7,们
8,这
9,一
10,他
11,么
12,在
13,有
14,个
15,好
16,来
17,人
18,那
19,要
20,会
21,就
22,什
23,没
24,到
25,说
26,吗
27,为
28,想
29,能
30,上
31,去
32,道
33,她
34,很
35,看
36,可
37,知
38,得
39,过
40,吧
41,还
42,对
43,里
44,以
45,都
46,事
47,子
48,生
49,时
50,样
51,也
52,和
53,下
54,真
55,现
56,做
57,大
58,啊
59,怎
60,出
61,点
62,起
63,天
64,把
65,开
66,让
67,给
68,但
69,谢
70,着
71,只
72,些
73,如
74,家
75,后
76,儿
77,多
78,意
79,别
80,所
81,话
82,小
83,自
84,回
85,然
86,果
87,发
88,见
89,心
90,走
91,定
92,听
93,觉
94,太
95,该
96,当
97,经
98,妈
99,用
100,打
101,地
102,再
103,因
104,呢
105,女
106,告
107,最
108,手
109,前
110,找
111,行
112,快
113,而
114,死
115,先
116,像
117,等
118,被
119,从
120,明
121,中
122,哦
123,情
124,作
125,跟
126,面
127,诉
128,爱
129,已
130,之
131,问
132,错
133,孩
134,斯
135,成
136,它
137,感
138,干
139,法
140,电
141,间
142,哪
143,西
144,己
145,候
146,次
147,信
148,欢
149,正
150,实
151,关
152,进
153,车
154,年
155,喜
156,认
157,克
158,爸
159,谁
160,方
161,老
162,应
163,比
164,帮
165,无
166,晚
167,动
168,头
169,机
170,分
171,特
172,相
173,全
174,杀
175,需
176,放
177,常
178,直
179,才
180,美
181,于
182,带
183,今
184,力
185,工
186,许
187,东
188,名
189,同
190,长
191,亲
192,种
193,者
194,嘿
195,白
196,学
197,安
198,尔
199,叫
200,理
201,本
202,国
203,第
204,友
205,高
206,两
207,保
208,请
209,非
210,重
211,公
212,记
213,身
214,受
215,住
216,活
217,加
218,何
219,伙
220,题
221,完
222,接
223,拿
224,望
225,解
226,其
227,离
228,谈
229,又
230,新
231,更
232,钱
233,马
234,思
235,部
236,场
237,嗯
238,计
239,任
240,确
241,吃
242,始
243,结
244,利
245,朋
246,警
247,士
248,外
249,件
250,难
251,位
252,表
253,刚
254,希
255,查
256,拉
257,边
258,或
259,将
260,男
261,准
262,变
263,证
264,物
265,员
266,总
267,噢
268,系
269,几
270,管
271,玩
272,处
273,办
274,主
275,气
276,每
277,少
278,切
279,失
280,算
281,性
282,此
283,必
284,备
285,合
286,德
287,队
288,试
289,抱
290,医
291,通
292,体
293,乐
294,并
295,三
296,早
297,门
298,害
299,歉
300,选
301,嗨
302,房
303,命
304,且
305,向
306,兴
307,球
308,服
309,入
310,照
311,提
312,掉
313,夫
314,路
315,演
316,够
317,日
318,案
319,舞
320,决
321,求
322,约
323,字
324,呃
325,肯
326,目
327,笑
328,伤
329,神
330,父
331,指
332,报
333,留
334,水
335,教
336,枪
337,清
338,色
339,号
340,世
341,远
342,片
343,官
344,口
345,师
346,原
347,酒
348,周
349,星
350,识
351,赛
352,救
353,底
354,棒
355,须
356,收
357,交
358,坐
359,停
360,卡
361,尼
362,婚
363,格
364,眼
365,金
366,蛋
367,息
368,室
369,内
370,运
371,根
372,单
373,宝
374,哥
375,张
376,搞
377,战
378,火
379,罗
380,至
381,万
382,声
383,布
384,音
385,期
386,条
387,消
388,买
389,病
390,整
391,奇
392,弟
393,犯
394,装
395,贝
396,您
397,送
398,怕
399,护
400,度
401,花
402,节
403,近
404,怪
405,持
406,光
407,与
408,穿
409,愿
410,象
411,影
412,击
413,使
414,二
415,喝
416,月
417,器
418,察
419,制
420,嘛
421,哈
422,助
423,达
424,海
425,待
426,托
427,除
428,写
429,绝
430,界
431,帝
432,姐
433,反
434,担
435,司
436,强
437,由
438,论
439,飞
440,亚
441,续
442,视
443,母
444,空
445,军
446,跑
447,阿
448,尽
449,注
450,弄
451,密
452,线
453,代
454,忙
455,坏
456,久
457,议
458,衣
459,血
460,钟
461,继
462,礼
463,数
464,份
465,疯
466,平
467,止
468,十
469,拜
470,鬼
471,睡
472,啦
473,调
474,巴
475,兄
476,紧
477,站
478,品
