phrase	translation
平身	Arise
叩	bow before
爱卿	dear courtier
和爱卿	dear courtier He
杜小月	Du Xiaoyue
滚	get out!
和二	He’er
黄三	Huang’san
哀家	I
和某	Mr He
纪大烟袋	Ji “the Big Tabacco Pipe”
纪某	Mr Ji
纪晓岚	Ji Xiaolan
纪大人	Lord Ji
纪昀纪晓岚	Ji Xiaolan
康安	Kangan
老纪	old Mr Ji
万岁万岁万万岁	long live your Majesty!
千岁千岁千千岁	long live your Majesty!
福大人	Lord Fu
和大人	Lord He
莫愁姑娘	Miss Mochou
莫愁	Mochou
纪先生	Mr Ji
王爷	Royal Lord
狗官	dog official
奴才	servant
白娘子	the white lady
小小月	Xiaoyue
小八月	Xiaoyue
八小月	Xiaoyue
小月	Xiaoyue
小月姑娘	Miss Xiaoyue
万岁	your Majesty
万岁爷	your Majesty
四姑娘	Lady Four
十四爷	Fourteenth Lord
十四王爷	Fourteenth Lord
圣上	emperor
匕	心
壬	王
纪巨晓岚	Ji Xiaolan
